観光地の公衆トイレ一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ｎｏ,名称,市町村名,住所,利用時間,駐車場台数,,形式,便器数,,,,,,,,,,多目的（障害者用）トイレ,,,,,,,,,,設　　　備,,,,,,,近隣の観光スポット,特記事項,,,,,,,,,,,,,
,,,,,一般,障害者用,,男性用,,,女性用,,兼用,,子供用,,うちｳｫｼｭﾚｯﾄ,手すり,段差解消,レバー,非常ボタン,ドア形態,"内部ｽﾍﾟｰｽ
ｍ×ｍ",移乗方向,ｳｫｼｭﾚｯﾄ,介護ベッド,オストメイト,蛇口,温風乾燥機,休憩スペース,荷物台・棚,フック,乳幼児イス,乳幼児ベッド,,,,,,,,,,,,,,,
72,三尾川公衆トイレ,紀美野町,紀美野町三尾川91-1,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,生石高原,,,,,,,,,,,,,,
73,今西公衆トイレ,紀美野町,紀美野町今西326,終日,,,汲み取り式,,,,,,,2,,,,,,,,,,,,,,,,,,,,,"みさと天文台
生石高原",,,,,,,,,,,,,,
74,小西公衆トイレ,紀美野町,紀美野町小西169-7,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,みさと天文台,,,,,,,,,,,,,,
75,毛原宮公衆トイレ,紀美野町,紀美野町毛原宮254-12,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,手動式,,,,,,,みさと天文台,,,,,,,,,,,,,,
76,毛原公衆トイレ,紀美野町,紀美野町毛原宮222,終日,,,水洗式,,1,1,,1,,,,,,○,○,くつべら式,,外開き式,2.0×1.9,前方・左から,,,,光感知式,,,,,,,みさと天文台,,,,,,,,,,,,,,
77,毛原上公衆トイレ,紀美野町,紀美野町毛原上408-2,終日,,,汲み取り式,,,2,,,,2,,,,,,,,,,,,,,手動式,,,,,,,みさと天文台,,,,,,,,,,,,,,
78,長谷宮公衆トイレ,紀美野町,紀美野町長谷宮146-3,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,みさと天文台,,,,,,,,,,,,,,
79,長谷公衆トイレ,紀美野町,紀美野町長谷宮664,終日,,,汲み取り式,,,3,,,,2,,,,,,,,,,,,,,,,,,,,,みさと天文台,,,,,,,,,,,,,,
80,紀美野町役場美里支所,紀美野町,紀美野町神野市場226-1,"平日8:30
17:15",10,1,水洗式,,2,3,,3,,,,,,○,○,くつべら式,○,引き戸式,1.9×1.8,前方・右から,○,,,光感知式,○,,○,,○,,"生石高原
みさと天文台",,,,,,,,,,,,,,
81,紀の川市粉河支所,紀の川市,紀の川市粉河412,8:45　　　　　　　　17:30,100,1,水洗式,,2,3,,4,,,,,,○,,押ボタン式,,引き戸式,2.1×2.2,横,,,,光感知式,,,,○,,,,,,,,,,,,,,,,,
82,粉河ふるさとセンター,紀の川市,紀の川市粉河580,8:45　　　　　　　17:30,100,2,水洗式,1,1,6,3,1,,,,,,○,,押ボタン式,○,引き戸式,2.1×2.0,横,,,,手動式,,,,○,○,○,,,,,,,,,,,,,,,
83,JR粉河駅公衆トイレ,紀の川市,紀の川市粉河870,終日,,,水洗式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,粉河寺公衆トイレ,紀の川市,紀の川市粉河2787,終日,,,水洗式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,観光特産センターこかわ,紀の川市,紀の川市粉河2046-1,8:00　　　　　　18:00,10,,水洗式,,,2,,,2,1,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
86,秋葉山公園公衆トイレ,紀の川市,紀の川市粉河地区,10:00　　　　　18:00,,,水洗式,,2,3,,3,,,,,,○,,くつべら式,,引き戸式,2.1×2.1,横,,,,光感知式,,,,○,,,,,,,,,,,,,,,,,
87,紀の川市粉河運動場公衆トイレ,紀の川市,紀の川市粉河地区,終日,100,,水洗式,,1,3,,3,,,,,,,,,,,,,,,,手動式,,,,○,,,,,,,,,,,,,,,,,
88,葛城山公衆トイレ,紀の川市,紀の川市切畑地区,終日,10,1,水洗式,,1,2,3,,,,,,,○,,くつべら式,○,引き戸式,2.1×2.1,前方から,,,,光感知式,,,○,○,○,○,,,,,,,,,,,,,,,
89,粉河龍門山温泉,紀の川市,紀の川市645-1,11:00　　　　　22:00,30,,水洗式,2,,2,2,1,,,,,,,,,,,,,,,,手動式,,,,,,,,,,,,,,,,,,,,,
